Date,Volume_t-3,Volume_t-2,Volume_t-1,Open_t-3,Open_t-2,Open_t-1,High_t-3,High_t-2,High_t-1,Low_t-3,Low_t-2,Low_t-1,target
2017-01-31,26320740.0,20495340.0,30327110.0,121.67,122.14,120.93,122.44,122.35,121.63,121.6,121.6,120.66,121.15
2020-02-06,43496400.0,34154130.0,29706720.0,304.3,315.31,323.52,313.49,319.64,324.76,302.22,313.63,318.95,322.57
2016-10-03,29608390.0,35850010.0,36340670.0,113.69,113.16,112.46,114.64,113.8,113.37,113.43,111.8,111.8,112.71
2019-11-13,17520500.0,20507460.0,21847230.0,258.69,258.3,261.55,260.44,262.47,262.79,256.85,258.28,260.92,261.13
2020-03-06,79868850.0,54794570.0,46893220.0,303.67,296.44,295.52,304.0,303.4,299.55,285.8,293.13,291.41,282.0
2017-08-15,39636190.0,26208970.0,22074760.0,159.9,156.6,159.32,160.0,158.57,160.21,154.63,156.07,158.75,160.66
2018-07-02,24987260.0,17352380.0,22551660.0,185.23,184.1,186.29,187.28,186.21,187.19,184.03,183.8,182.91,183.82
2016-07-01,40387960.0,36505420.0,35783320.0,92.9,93.97,94.44,93.66,94.55,95.77,92.14,93.63,94.3,95.49
2018-04-03,41464880.0,38116290.0,37425640.0,167.25,167.81,167.88,170.02,171.75,168.94,165.19,166.9,164.47,167.64
2017-08-02,17192770.0,19690420.0,33669020.0,149.89,149.9,149.1,150.23,150.33,150.22,149.19,148.13,148.41,159.28
2018-10-24,32874330.0,28751540.0,38681170.0,218.06,219.79,215.83,221.26,223.36,223.25,217.43,218.94,214.7,222.6
2020-05-28,20450750.0,31380450.0,28236270.0,315.77,323.5,316.14,319.23,324.24,318.71,315.35,316.5,313.09,316.77
2017-02-03,47767760.0,111837300.0,33671250.0,121.15,127.03,127.98,121.39,130.49,129.39,120.62,127.01,127.78,128.31
2018-01-26,32395870.0,51368540.0,41438280.0,177.3,177.25,174.51,179.44,177.3,174.95,176.82,173.2,170.53,172.0
2015-12-09,57717870.0,32063100.0,34275420.0,115.29,118.98,117.52,119.25,119.86,118.6,115.11,117.81,116.86,117.64
2019-04-04,27308200.0,22727370.0,23243160.0,191.64,191.09,193.25,191.68,194.46,196.5,188.38,191.05,193.15,194.79
2019-12-04,11654360.0,23693550.0,29377270.0,266.6,267.27,258.31,268.0,268.25,259.53,265.9,263.45,256.29,261.07
2019-02-12,31644240.0,23793830.0,20940020.0,172.4,168.99,171.05,173.94,170.66,171.21,170.34,168.42,169.25,170.1
2015-09-24,46594220.0,50278030.0,35678360.0,113.67,113.38,113.63,115.37,114.18,114.72,113.66,112.52,113.3,113.25
2017-11-30,20591090.0,26387240.0,41459120.0,175.05,174.3,172.63,175.08,174.87,172.92,173.34,171.86,167.16,170.43
2016-12-06,37034520.0,26481320.0,34113880.0,110.37,109.17,110.0,110.94,110.09,110.03,109.03,108.85,108.25,109.5
2020-03-12,71686210.0,71322520.0,64094970.0,263.75,277.14,277.39,278.09,286.44,281.22,263.0,269.37,271.86,255.94
2017-05-10,27254850.0,48670440.0,38907940.0,146.76,149.03,153.87,148.98,153.7,154.88,146.76,149.03,153.45,153.63
2015-08-13,54851010.0,96820670.0,101593400.0,116.53,117.81,112.53,119.99,118.18,115.42,116.53,113.33,109.63,116.04
